Method,Mode,Phase,Tolerance_ms,F1,SD_between_base_means,Minimum,Maximum,MAE_ms,Coverage
Stack,Full3C,P,50,0.7258222550503927,0.009499834615721245,0.7095808383233533,0.7414050822122571,81.07483778949792,0.9960199004975124
PhaseNetMatched,Full3C,P,50,0.9491525170883942,0.0014954135695294268,0.9476831091180867,0.9506726457399103,21.897855939772025,0.9960199004975124
Stack,Full3C,P,100,0.8693931830840398,0.007795365933302704,0.8490284005979073,0.8819133034379671,81.07483778949792,0.9960199004975124
PhaseNetMatched,Full3C,P,100,0.9661051588899928,0.006719449407183799,0.9596412556053812,0.9730538922155688,21.897855939772025,0.9960199004975124
Stack,Full3C,P,200,0.9302102945942367,0.0037504764454657563,0.9207772795216741,0.9357249626307922,81.07483778949792,0.9960199004975124
PhaseNetMatched,Full3C,P,200,0.9830503417678842,0.0031159437517232816,0.9805680119581465,0.9865470852017937,21.897855939772025,0.9960199004975124
Stack,Full3C,S,50,0.4288796423902617,0.007363910542634049,0.4144144144144144,0.44744744744744747,682.1367220742541,0.9844112769485903
PhaseNetMatched,Full3C,S,50,0.4281437125748503,0.01963304947395807,0.4101796407185629,0.4491017964071856,216.76676676676675,0.9940298507462687
Stack,Full3C,S,100,0.5779683181648699,0.006409397598504486,0.5580693815987934,0.5933734939759037,682.1367220742541,0.9844112769485903
PhaseNetMatched,Full3C,S,100,0.626746506986028,0.018293715349125085,0.6107784431137725,0.6467065868263473,216.76676676676675,0.9940298507462687
Stack,Full3C,S,200,0.7103495066553609,0.010870738529323843,0.6877828054298643,0.7409638554216867,682.1367220742541,0.9844112769485903
PhaseNetMatched,Full3C,S,200,0.781437125748503,0.026611360530885007,0.7514970059880239,0.8023952095808383,216.76676676676675,0.9940298507462687
Stack,Zonly,P,50,0.740075147951277,0.005188487020342159,0.7343283582089553,0.7492537313432835,126.37329855252209,0.9970149253731343
PhaseNetMatched,Zonly,P,50,0.939767530062691,0.010829769171981404,0.9327354260089686,0.9522388059701492,26.07748681740981,0.9990049751243781
Stack,Zonly,P,100,0.8722787356297527,0.00604904869503618,0.8639760837070254,0.8805970149253731,126.37329855252209,0.9970149253731343
PhaseNetMatched,Zonly,P,100,0.9636615130624903,0.008234897893466132,0.9582089552238806,0.9731343283582089,26.07748681740981,0.9990049751243781
Stack,Zonly,P,200,0.9334006952073142,0.0015732880653960444,0.9253731343283582,0.9417040358744395,126.37329855252209,0.9970149253731343
PhaseNetMatched,Zonly,P,200,0.9845674467721185,0.0037715085516803106,0.9805680119581465,0.9880597014925373,26.07748681740981,0.9990049751243781
Stack,Zonly,S,50,0.2017021899063414,0.014453417213248063,0.17896389324960754,0.22427035330261136,939.9687233589295,0.9330016583747927
PhaseNetMatched,Zonly,S,50,0.23530517440455412,0.0211989494221516,0.21524663677130046,0.25748502994011974,469.591897286508,0.9960199004975124
Stack,Zonly,S,100,0.33836965674005853,0.009586869771208434,0.32565284178187404,0.35348837209302325,939.9687233589295,0.9330016583747927
PhaseNetMatched,Zonly,S,100,0.36889897335374094,0.01665643814092834,0.34977578475336324,0.38023952095808383,469.591897286508,0.9960199004975124
Stack,Zonly,S,200,0.48109172905651654,0.014175200359534162,0.46105919003115264,0.5054263565891473,939.9687233589295,0.9330016583747927
PhaseNetMatched,Zonly,S,200,0.56730485217905,0.011815264018267432,0.5590433482810164,0.5808383233532934,469.591897286508,0.9960199004975124
