Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,42,42,accepted,P,50,335,334,333,246,88,89,0.7365269461077845,0.7343283582089553,0.7354260089686099,0.9970149253731343,68.9520958083831,19.999999999999574,295.29899594476785,0.0029940119760479044
Stack,Full3C,42,42,accepted,P,100,335,334,333,292,42,43,0.874251497005988,0.8716417910447761,0.8729446935724963,0.9970149253731343,68.9520958083831,19.999999999999574,295.29899594476785,0.0029940119760479044
Stack,Full3C,42,42,accepted,P,200,335,334,333,313,21,22,0.937125748502994,0.9343283582089552,0.9357249626307922,0.9970149253731343,68.9520958083831,19.999999999999574,295.29899594476785,0.0029940119760479044
Stack,Full3C,42,42,accepted,S,50,335,330,319,145,185,190,0.4393939393939394,0.43283582089552236,0.43609022556390975,0.9850746268656716,610.030303030303,70.00000000000028,2063.3282175488544,0.07878787878787878
Stack,Full3C,42,42,accepted,S,100,335,330,319,194,136,141,0.5878787878787879,0.5791044776119403,0.5834586466165413,0.9850746268656716,610.030303030303,70.00000000000028,2063.3282175488544,0.07878787878787878
Stack,Full3C,42,42,accepted,S,200,335,330,319,238,92,97,0.7212121212121212,0.7104477611940299,0.7157894736842105,0.9850746268656716,610.030303030303,70.00000000000028,2063.3282175488544,0.07878787878787878
Stack,Full3C,42,42,strict,P,50,335,333,333,246,87,89,0.7387387387387387,0.7343283582089553,0.7365269461077845,0.9940298507462687,67.89789789789776,19.999999999999574,294.8451010846774,0.003003003003003003
Stack,Full3C,42,42,strict,P,100,335,333,333,292,41,43,0.8768768768768769,0.8716417910447761,0.874251497005988,0.9940298507462687,67.89789789789776,19.999999999999574,294.8451010846774,0.003003003003003003
Stack,Full3C,42,42,strict,P,200,335,333,333,313,20,22,0.93993993993994,0.9343283582089552,0.937125748502994,0.9940298507462687,67.89789789789776,19.999999999999574,294.8451010846774,0.003003003003003003
Stack,Full3C,42,42,strict,S,50,335,319,319,143,176,192,0.4482758620689655,0.42686567164179107,0.43730886850152906,0.9522388059701492,600.2194357366772,60.0000000000005,2072.093954006906,0.07523510971786834
Stack,Full3C,42,42,strict,S,100,335,319,319,191,128,144,0.5987460815047022,0.5701492537313433,0.5840978593272171,0.9522388059701492,600.2194357366772,60.0000000000005,2072.093954006906,0.07523510971786834
