id,mode,kind,seed,fold
Zonly_CNN_fold1_seed43,Zonly,CNN,43,1
Zonly_TCN_fold1_seed43,Zonly,TCN,43,1
Zonly_CNN_fold2_seed43,Zonly,CNN,43,2
Zonly_TCN_fold2_seed43,Zonly,TCN,43,2
Zonly_CNN_fold3_seed43,Zonly,CNN,43,3
Zonly_TCN_fold3_seed43,Zonly,TCN,43,3
Zonly_CNN_fold4_seed43,Zonly,CNN,43,4
Zonly_TCN_fold4_seed43,Zonly,TCN,43,4
Zonly_CNN_fold5_seed43,Zonly,CNN,43,5
Zonly_TCN_fold5_seed43,Zonly,TCN,43,5
Zonly_CNN_fold0_seed43,Zonly,CNN,43,0
Zonly_TCN_fold0_seed43,Zonly,TCN,43,0
Zonly_full15ch_fold-1_seed42,Zonly,full15ch,42,-1
Zonly_full15ch_fold-1_seed43,Zonly,full15ch,43,-1
Zonly_full15ch_fold-1_seed44,Zonly,full15ch,44,-1
