event_id,source_id,fold
stead_event_00000,uw10827933,1
stead_event_00003,uw60489782,3
stead_event_00004,uw60532637,2
stead_event_00005,uw60836432,3
stead_event_00006,uw61125466,3
stead_event_00008,606918008,3
stead_event_00010,603441565,5
stead_event_00013,ak0115m1xalu,2
stead_event_00014,ak0118i83ymt,5
stead_event_00015,ak011asnzvzv,5
stead_event_00016,ak0123jiu6h,3
stead_event_00017,ak01222oepy2,5
stead_event_00018,ak0124yqg61y,5
stead_event_00019,ak0129z016hs,1
stead_event_00020,ak012bckyz5k,1
stead_event_00021,ak012ez72xw5,3
stead_event_00022,ak012f9c22qf,5
stead_event_00023,ak16750120,1
stead_event_00024,ak16750767,4
stead_event_00026,ak16975961,2
stead_event_00027,ak17129343,4
stead_event_00028,ak17169147,3
stead_event_00029,ak17658684,3
stead_event_00030,ak17661790,1
stead_event_00031,ak17857798,4
stead_event_00032,ak18030332,2
stead_event_00036,ak19058387,2
stead_event_00037,ak19233769,3
stead_event_00038,ak19245765,4
stead_event_00039,ak19771635,3
stead_event_00040,ak19727709,3
stead_event_00041,ak19743826,3
stead_event_00042,14370419,3
stead_event_00044,604856445,1
stead_event_00045,606722639,5
stead_event_00046,16336727,1
stead_event_00047,ci37264832,5
stead_event_00048,ci37537992,4
stead_event_00049,ci37538352,5
stead_event_00054,hv60901656,5
stead_event_00056,hv60902751,3
stead_event_00057,hv60902786,3
stead_event_00058,hv60904121,1
stead_event_00059,hv60905076,4
stead_event_00060,hv60905131,1
stead_event_00061,hv60905411,4
stead_event_00063,hv60905561,1
stead_event_00064,hv60905571,3
stead_event_00065,hv60905606,3
stead_event_00066,hv60905651,1
stead_event_00068,hv60906726,3
stead_event_00071,hv60907091,2
stead_event_00072,hv60907196,2
stead_event_00077,hv60908376,1
stead_event_00078,hv60908401,4
stead_event_00079,hv60908416,4
stead_event_00081,hv60908606,4
stead_event_00082,hv60908686,5
stead_event_00083,hv60908866,2
stead_event_00084,hv60909041,4
stead_event_00085,hv60909446,3
stead_event_00087,hv60910286,1
stead_event_00089,hv60910386,4
stead_event_00090,hv60910431,4
stead_event_00093,hv60911321,5
stead_event_00095,hv60911796,4
stead_event_00096,hv60911931,1
stead_event_00097,hv60912096,5
stead_event_00098,hv60913921,2
stead_event_00099,hv60914236,2
stead_event_00100,hv60914506,1
stead_event_00101,hv60914531,3
stead_event_00102,hv60914671,2
stead_event_00103,hv60914746,4
stead_event_00105,hv60915131,1
stead_event_00106,hv60915206,5
stead_event_00108,hv60915406,1
stead_event_00109,hv60915506,2
stead_event_00110,hv60915871,5
stead_event_00111,hv60916101,3
stead_event_00114,hv60917821,3
stead_event_00117,hv60918641,2
stead_event_00119,hv60919621,5
stead_event_00122,hv60920341,2
stead_event_00123,hv60920506,1
stead_event_00124,hv60920771,1
stead_event_00125,hv60920961,3
stead_event_00128,hv60922671,2
stead_event_00129,hv60923501,2
stead_event_00130,hv60925161,2
stead_event_00131,hv60925516,2
stead_event_00132,hv60926151,1
stead_event_00133,hv60926721,1
stead_event_00135,hv60927361,3
stead_event_00136,hv60927386,5
stead_event_00138,hv60927821,1
stead_event_00141,hv60928881,1
stead_event_00142,hv60929391,5
stead_event_00143,hv60929571,2
stead_event_00144,hv60930471,1
stead_event_00145,hv60930481,4
stead_event_00146,hv60930731,3
stead_event_00147,hv60930766,4
stead_event_00148,hv60931156,1
stead_event_00149,hv60931301,1
stead_event_00151,hv60931331,2
stead_event_00152,hv60930346,1
stead_event_00153,hv60931426,3
stead_event_00155,hv60931836,2
stead_event_00156,hv60932191,1
stead_event_00158,hv60933351,5
stead_event_00160,hv60933481,1
stead_event_00161,hv60933661,2
stead_event_00162,hv60933711,2
stead_event_00163,hv60934466,5
stead_event_00164,hv60934581,1
stead_event_00166,hv60935106,2
stead_event_00167,hv60935306,1
stead_event_00168,hv60935336,1
stead_event_00169,hv60935911,4
stead_event_00170,hv60937446,3
stead_event_00171,hv60938216,3
stead_event_00172,hv60938581,5
stead_event_00173,hv60938631,5
stead_event_00174,hv60939101,2
stead_event_00175,hv60956536,3
stead_event_00176,hv60960951,5
stead_event_00177,hv60964061,5
stead_event_00179,hv60967331,5
stead_event_00180,hv60967896,4
stead_event_00181,hv60968026,1
stead_event_00184,hv60968991,2
stead_event_00185,hv60969066,1
stead_event_00187,hv60973421,5
stead_event_00188,hv60974651,1
stead_event_00189,hv60976161,2
stead_event_00190,hv60976271,5
stead_event_00193,hv60978476,5
stead_event_00194,hv60980086,3
stead_event_00195,hv60980141,5
stead_event_00200,hv60996411,4
stead_event_00201,hv60997021,4
stead_event_00202,hv60997161,2
stead_event_00204,hv61002066,4
stead_event_00205,hv61005056,5
stead_event_00206,hv61006731,5
stead_event_00207,hv61008886,1
stead_event_00208,hv61010506,4
stead_event_00209,hv61013276,3
stead_event_00210,hv61014206,2
stead_event_00211,hv61019736,2
stead_event_00212,hv61020321,2
stead_event_00213,hv61021486,2
stead_event_00215,hv61023526,5
stead_event_00216,hv61027181,1
stead_event_00218,hv61033911,3
stead_event_00220,hv61050336,3
stead_event_00221,hv61052806,5
stead_event_00222,hv61054426,5
stead_event_00223,hv61054991,3
stead_event_00224,hv61056726,2
stead_event_00225,hv61056976,2
stead_event_00227,hv61058746,5
stead_event_00229,hv61060596,1
stead_event_00231,hv61065251,4
stead_event_00232,hv61065256,3
stead_event_00233,hv61065666,4
stead_event_00234,hv61066876,2
stead_event_00236,hv61073671,5
stead_event_00237,hv61074986,3
stead_event_00238,hv61076201,5
stead_event_00239,hv61084836,3
stead_event_00243,hv61091276,1
stead_event_00244,hv61097871,1
stead_event_00246,hv61099846,1
stead_event_00250,hv61107066,3
stead_event_00251,hv61109086,4
stead_event_00253,hv61110506,4
stead_event_00254,hv61110881,5
stead_event_00255,hv61112686,4
stead_event_00257,hv61123271,1
stead_event_00258,hv61123561,4
stead_event_00259,hv61124226,5
stead_event_00260,hv61124451,4
stead_event_00262,hv61127886,3
stead_event_00263,hv61129671,1
stead_event_00266,hv61136261,3
stead_event_00268,hv61136501,3
stead_event_00269,hv61137436,3
