Mode,BaseSeed,Phase,Tolerance_ms,GroupCount,mean_F1,mean_MAE_ms,mean_AcceptedCoverage
Full3C,42,P,50,3,0.731439960139512,70,0.997014925373134
Full3C,42,P,100,3,0.867962132536123,70,0.997014925373134
Full3C,42,P,200,3,0.930742401594419,70,0.997014925373134
Full3C,42,S,50,3,0.43729787692636,657.292633616394,0.98407960199005
Full3C,42,S,100,3,0.573702535931638,657.292633616394,0.98407960199005
Full3C,42,S,200,3,0.704093662607595,657.292633616394,0.98407960199005
Full3C,43,P,50,3,0.731172930670796,68.6704369039698,0.995024875621891
Full3C,43,P,100,3,0.877804928260072,68.6704369039698,0.995024875621891
Full3C,43,P,200,3,0.93366629968762,68.6704369039698,0.995024875621891
Full3C,43,S,50,3,0.423632655211602,728.110043028472,0.987064676616915
Full3C,43,S,100,3,0.574863585389901,728.110043028472,0.987064676616915
Full3C,43,S,200,3,0.704052925105557,728.110043028472,0.987064676616915
Full3C,44,P,50,3,0.71485387434087,104.554076464524,0.996019900497513
Full3C,44,P,100,3,0.862412488455924,104.554076464524,0.996019900497513
Full3C,44,P,200,3,0.92622218250067,104.554076464524,0.996019900497513
Full3C,44,S,50,3,0.425708395032822,661.007489577896,0.982089552238806
Full3C,44,S,100,3,0.585338833173071,661.007489577896,0.982089552238806
Full3C,44,S,200,3,0.722901932252932,661.007489577896,0.982089552238806
Zonly,42,P,50,3,0.737787504214292,95.0491809174444,0.996019900497512
Zonly,42,P,100,3,0.866400233911847,95.0491809174444,0.996019900497512
Zonly,42,P,200,3,0.935196870832326,95.0491809174444,0.996019900497512
Zonly,42,S,50,3,0.188495475028056,972.496885754285,0.920398009950249
Zonly,42,S,100,3,0.329568470013795,972.496885754285,0.920398009950249
Zonly,42,S,200,3,0.467331788663457,972.496885754285,0.920398009950249
Zonly,43,P,50,3,0.746014323003815,157.93052700569,0.998009950248756
Zonly,43,P,100,3,0.878485003978612,157.93052700569,0.998009950248756
Zonly,43,P,200,3,0.932266916538384,157.93052700569,0.998009950248756
Zonly,43,S,50,3,0.217142304710772,944.939329611867,0.943283582089552
Zonly,43,S,100,3,0.336955406496764,944.939329611867,0.943283582089552
Zonly,43,S,200,3,0.480294829088877,944.939329611867,0.943283582089552
Zonly,44,P,50,3,0.736423616635724,126.140187734432,0.997014925373134
Zonly,44,P,100,3,0.871950968998798,126.140187734432,0.997014925373134
Zonly,44,P,200,3,0.932738298251232,126.140187734432,0.997014925373134
Zonly,44,S,50,3,0.199468789980196,902.469954710637,0.935323383084577
Zonly,44,S,100,3,0.348585093709616,902.469954710637,0.935323383084577
Zonly,44,S,200,3,0.495648569417216,902.469954710637,0.935323383084577
