Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s,Mode,BaseSeed,MetaSeed,Method
P,50,335,334,333,246,88,89,0.736526946107784,0.734328358208955,0.73542600896861,0.997014925373134,68.9520958083832,19.9999999999996,295.298995944768,0.0029940119760479,Full3C,42,42,Stack
P,100,335,334,333,292,42,43,0.874251497005988,0.871641791044776,0.872944693572496,0.997014925373134,68.9520958083832,19.9999999999996,295.298995944768,0.0029940119760479,Full3C,42,42,Stack
P,200,335,334,333,313,21,22,0.937125748502994,0.934328358208955,0.935724962630792,0.997014925373134,68.9520958083832,19.9999999999996,295.298995944768,0.0029940119760479,Full3C,42,42,Stack
S,50,335,330,319,145,185,190,0.439393939393939,0.432835820895522,0.43609022556391,0.985074626865672,610.030303030303,69.9999999999994,2063.32821754885,0.0787878787878788,Full3C,42,42,Stack
S,100,335,330,319,194,136,141,0.587878787878788,0.57910447761194,0.583458646616541,0.985074626865672,610.030303030303,69.9999999999994,2063.32821754885,0.0787878787878788,Full3C,42,42,Stack
S,200,335,330,319,238,92,97,0.721212121212121,0.71044776119403,0.715789473684211,0.985074626865672,610.030303030303,69.9999999999994,2063.32821754885,0.0787878787878788,Full3C,42,42,Stack
P,50,335,334,334,248,86,87,0.74251497005988,0.740298507462687,0.741405082212257,0.997014925373134,68.3532934131736,19.9999999999996,294.319981477653,0.0029940119760479,Full3C,42,43,Stack
P,100,335,334,334,295,39,40,0.883233532934132,0.880597014925373,0.881913303437967,0.997014925373134,68.3532934131736,19.9999999999996,294.319981477653,0.0029940119760479,Full3C,42,43,Stack
P,200,335,334,334,313,21,22,0.937125748502994,0.934328358208955,0.935724962630792,0.997014925373134,68.3532934131736,19.9999999999996,294.319981477653,0.0029940119760479,Full3C,42,43,Stack
S,50,335,331,324,149,182,186,0.450151057401813,0.444776119402985,0.447447447447447,0.988059701492537,691.329305135952,70.0000000000003,2221.05136912455,0.0936555891238671,Full3C,42,43,Stack
S,100,335,331,324,193,138,142,0.583081570996979,0.576119402985075,0.57957957957958,0.988059701492537,691.329305135952,70.0000000000003,2221.05136912455,0.0936555891238671,Full3C,42,43,Stack
S,200,335,331,324,236,95,99,0.712990936555891,0.704477611940298,0.708708708708709,0.988059701492537,691.329305135952,70.0000000000003,2221.05136912455,0.0936555891238671,Full3C,42,43,Stack
P,50,335,334,334,240,94,95,0.718562874251497,0.716417910447761,0.717488789237668,0.997014925373134,72.6946107784431,19.9999999999996,297.807356451929,0.0029940119760479,Full3C,42,44,Stack
P,100,335,334,334,284,50,51,0.850299401197605,0.847761194029851,0.849028400597907,0.997014925373134,72.6946107784431,19.9999999999996,297.807356451929,0.0029940119760479,Full3C,42,44,Stack
P,200,335,334,334,308,26,27,0.922155688622755,0.919402985074627,0.920777279521674,0.997014925373134,72.6946107784431,19.9999999999996,297.807356451929,0.0029940119760479,Full3C,42,44,Stack
S,50,335,328,309,142,186,193,0.432926829268293,0.423880597014925,0.428355957767722,0.97910447761194,670.518292682927,79.9999999999992,2266.67903362241,0.0853658536585366,Full3C,42,44,Stack
S,100,335,328,309,185,143,150,0.564024390243902,0.552238805970149,0.558069381598793,0.97910447761194,670.518292682927,79.9999999999992,2266.67903362241,0.0853658536585366,Full3C,42,44,Stack
S,200,335,328,309,228,100,107,0.695121951219512,0.680597014925373,0.687782805429864,0.97910447761194,670.518292682927,79.9999999999992,2266.67903362241,0.0853658536585366,Full3C,42,44,Stack
P,50,335,334,333,247,87,88,0.739520958083832,0.737313432835821,0.738415545590433,0.997014925373134,106.22754491018,19.9999999999996,743.09637031065,0.00598802395209581,Zonly,42,42,Stack
P,100,335,334,333,289,45,46,0.865269461077844,0.862686567164179,0.863976083707025,0.997014925373134,106.22754491018,19.9999999999996,743.09637031065,0.00598802395209581,Zonly,42,42,Stack
P,200,335,334,333,313,21,22,0.937125748502994,0.934328358208955,0.935724962630792,0.997014925373134,106.22754491018,19.9999999999996,743.09637031065,0.00598802395209581,Zonly,42,42,Stack
S,50,335,316,265,67,249,268,0.212025316455696,0.2,0.205837173579109,0.943283582089552,903.006329113924,210.000000000001,2235.4663518216,0.155063291139241,Zonly,42,42,Stack
S,100,335,316,265,106,210,229,0.335443037974684,0.316417910447761,0.325652841781874,0.943283582089552,903.006329113924,210.000000000001,2235.4663518216,0.155063291139241,Zonly,42,42,Stack
S,200,335,316,265,154,162,181,0.487341772151899,0.459701492537313,0.473118279569892,0.943283582089552,903.006329113924,210.000000000001,2235.4663518216,0.155063291139241,Zonly,42,42,Stack
P,50,335,333,333,247,86,88,0.741741741741742,0.737313432835821,0.739520958083832,0.994029850746269,69.2792792792793,20.0000000000005,295.82936807392,0.003003003003003,Zonly,42,43,Stack
P,100,335,333,333,289,44,46,0.867867867867868,0.862686567164179,0.865269461077844,0.994029850746269,69.2792792792793,20.0000000000005,295.82936807392,0.003003003003003,Zonly,42,43,Stack
